<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.23	34290.0	34875.0	34279.0	34763.0	167649	0	0
2021.09.24	34792.0	34858.0	34590.0	34799.0	161109	0	0
2021.09.27	34876.0	35060.0	34782.0	34873.0	149019	0	0
2021.09.28	34870.0	34980.0	34249.0	34305.0	237816	0	0
2021.09.29	34364.0	34579.0	34296.0	34397.0	245289	0	0
2021.09.30	34437.0	34681.0	33820.0	33833.0	229919	0	0
2021.10.01	33848.0	34480.0	33518.0	34320.0	282130	0	0
2021.10.04	34398.0	34415.0	33804.0	33997.0	298540	0	0
2021.10.05	34015.0	34478.0	33800.0	34305.0	227790	0	0
2021.10.06	34351.0	34417.0	33838.0	34406.0	290310	0	0
2021.10.07	34449.0	34962.0	34445.0	34750.0	177730	0	0
2021.10.08	34773.0	34858.0	34641.0	34736.0	196880	0	0
2021.10.11	34700.0	34934.0	34470.0	34482.0	204520	0	0
2021.10.12	34466.0	34591.0	34231.0	34359.0	230940	0	0
2021.10.13	34310.0	34446.0	34094.0	34369.0	196870	0	0
2021.10.14	34394.0	34899.0	34387.0	34889.0	143530	0	0
2021.10.15	34940.0	35302.0	34892.0	35281.0	138310	0	0
2021.10.18	35278.0	35327.0	35022.0	35246.0	153589	0	0
2021.10.19	35214.0	35458.0	35185.0	35447.0	123480	0	0
2021.10.20	35447.0	35659.0	35390.0	35607.0	115630	0	0
2021.10.21	35565.0	35607.0	35435.0	35594.0	120590	0	0
2021.10.22	35565.0	35754.0	35523.0	35667.0	142520	0	0
2021.10.25	35615.0	35781.0	35560.0	35751.0	115450	0	0
2021.10.26	35757.0	35891.0	35735.0	35750.0	120267	0	0
2021.10.27	35777.0	35829.0	35502.0	35502.0	140510	0	0
2021.10.28	35553.0	35731.0	35504.0	35722.0	129350	0	0
2021.10.29	35743.0	35851.0	35598.0	35821.0	141630	0	0
2021.11.01	35922.0	36006.0	35802.0	35916.0	117310	0	0
2021.11.02	35914.0	36084.0	35813.0	36053.0	105488	0	0
2021.11.03	36030.0	36175.0	35885.0	36151.0	101981	0	0
2021.11.04	36159.0	36179.0	35976.0	36124.0	102908	0	0
2021.11.05	36107.0	36484.0	36057.0	36327.0	126289	0	0
2021.11.08	36341.0	36563.0	36268.0	36433.0	117930	0	0
2021.11.09	36391.0	36433.0	36175.0	36317.0	127008	0	0
2021.11.10	36263.0	36349.0	36010.0	36089.0	147560	0	0
2021.11.11	36062.0	36163.0	35921.0	35928.0	116090	0	0
2021.11.12	35971.0	36147.0	35934.0	36102.0	100860	0	0
2021.11.15	36143.0	36257.0	36032.0	36092.0	102899	0	0
2021.11.16	36098.0	36323.0	36031.0	36157.0	102339	0	0
2021.11.17	36148.0	36176.0	35907.0	35939.0	94726	0	0
2021.11.18	35898.0	36022.0	35655.0	35882.0	103876	0	0
2021.11.19	35902.0	36049.0	35554.0	35606.0	156670	0	0
2021.11.22	35663.0	35936.0	35618.0	35633.0	139468	0	0
2021.11.23	35674.0	35850.0	35426.0	35818.0	208329	0	0
2021.11.24	35806.0	35838.0	35589.0	35812.0	165389	0	0
2021.11.25	35845.0	35956.0	35813.0	35841.0	53359	0	0
2021.11.26	35765.0	35769.0	34694.0	34739.0	298365	0	0
2021.11.29	35065.0	35306.0	34901.0	35141.0	246550	0	0
2021.11.30	35231.0	35285.0	34436.0	34478.0	345830	0	0
2021.12.01	34572.0	35011.0	34007.0	34017.0	282140	0	0
2021.12.02	34085.0	34773.0	34085.0	34676.0	343600	0	0
2021.12.03	34616.0	34820.0	34285.0	34602.0	332960	0	0
2021.12.06	34758.0	35383.0	34671.0	35266.0	259370	0	0
2021.12.07	35269.0	35842.0	35240.0	35756.0	169620	0	0
2021.12.08	35761.0	35959.0	35623.0	35779.0	184600	0	0
2021.12.09	35768.0	35882.0	35601.0	35777.0	152010	0	0
2021.12.10	35796.0	36023.0	35727.0	36013.0	149750	0	0
2021.12.13	36065.0	36168.0	35649.0	35692.0	153910	0	0
2021.12.14	35703.0	35818.0	35472.0	35594.0	192400	0	0
2021.12.15	35575.0	35966.0	35414.0	35952.0	197290	0	0
2021.12.16	36010.0	36236.0	35798.0	35912.0	205820	0	0
