<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.27	10:30:00	5987.5	5993.1	5987.3	5991.7	441	0	1
2025.02.27	10:45:00	5991.8	5996.7	5991.3	5995.9	320	0	1
2025.02.27	11:00:00	5995.7	5996.2	5990.3	5990.3	547	0	1
2025.02.27	11:15:00	5990.5	5996.5	5989.2	5996.3	426	0	1
2025.02.27	11:30:00	5996.6	5998.2	5994.5	5996.3	424	0	1
2025.02.27	11:45:00	5996.6	5998.8	5995.1	5997.0	391	0	1
2025.02.27	12:00:00	5997.2	5997.8	5993.8	5995.8	440	0	1
2025.02.27	12:15:00	5996.1	6000.1	5995.1	5997.0	360	0	1
2025.02.27	12:30:00	5997.1	5997.3	5992.9	5995.3	375	0	1
2025.02.27	12:45:00	5995.5	5997.1	5993.7	5996.6	231	0	1
2025.02.27	13:00:00	5996.7	6000.9	5996.3	5999.1	259	0	1
2025.02.27	13:15:00	5999.0	6000.4	5997.4	5998.8	312	0	1
2025.02.27	13:30:00	5998.6	5999.6	5996.0	5998.2	327	0	1
2025.02.27	13:45:00	5998.3	6002.5	5997.8	6002.4	266	0	1
2025.02.27	14:00:00	6002.0	6004.2	6000.3	6000.6	422	0	1
2025.02.27	14:15:00	6000.3	6003.7	5999.3	6002.3	286	0	1
2025.02.27	14:30:00	6002.5	6006.1	6000.8	6004.0	348	0	1
2025.02.27	14:45:00	6004.1	6004.8	5997.3	5998.3	410	0	1
2025.02.27	15:00:00	5998.4	6000.5	5996.8	5999.2	400	0	1
2025.02.27	15:15:00	5998.9	6001.5	5994.6	5996.9	361	0	1
2025.02.27	15:30:00	5990.0	5999.7	5988.0	5999.0	925	0	1
2025.02.27	15:45:00	5999.3	6001.3	5969.3	5977.8	2269	0	1
2025.02.27	16:00:00	5977.5	5992.2	5974.5	5990.3	1274	0	1
2025.02.27	16:15:00	5990.2	5991.5	5984.4	5987.3	806	0	1
2025.02.27	16:30:00	5987.5	5998.9	5969.3	5973.1	2214	0	1
2025.02.27	16:45:00	5973.5	5982.5	5939.5	5942.3	2648	0	1
2025.02.27	17:00:00	5941.8	5961.8	5923.2	5959.0	3056	0	1
2025.02.27	17:15:00	5958.5	5983.5	5957.2	5973.1	2651	0	1
2025.02.27	17:30:00	5972.7	5975.3	5954.2	5968.8	2620	0	1
2025.02.27	17:45:00	5969.2	5975.0	5951.1	5952.4	2398	0	1
2025.02.27	18:00:00	5952.7	5971.4	5950.4	5970.8	2185	0	1
2025.02.27	18:15:00	5971.0	5980.5	5956.2	5959.5	1721	0	1
2025.02.27	18:30:00	5959.2	5967.8	5953.7	5956.7	1663	0	1
2025.02.27	18:45:00	5956.6	5959.7	5940.7	5942.6	1452	0	1
2025.02.27	19:00:00	5943.0	5948.2	5939.2	5941.3	1507	0	1
2025.02.27	19:15:00	5941.7	5957.7	5931.6	5956.9	1484	0	1
2025.02.27	19:30:00	5957.1	5962.5	5941.7	5946.1	1427	0	1
2025.02.27	19:45:00	5946.5	5953.1	5941.7	5952.2	1442	0	1
2025.02.27	20:00:00	5952.3	5967.2	5950.7	5963.9	1631	0	1
2025.02.27	20:15:00	5964.1	5969.5	5960.0	5964.1	1210	0	1
2025.02.27	20:30:00	5964.2	5967.5	5959.4	5961.6	1039	0	1
2025.02.27	20:45:00	5961.8	5965.0	5954.3	5955.2	1219	0	1
2025.02.27	21:00:00	5955.3	5956.3	5941.9	5943.2	1416	0	1
2025.02.27	21:15:00	5943.3	5944.9	5924.4	5925.4	1456	0	1
2025.02.27	21:30:00	5925.7	5925.7	5900.7	5908.7	2311	0	1
2025.02.27	21:45:00	5908.2	5917.0	5905.2	5910.5	2001	0	1
2025.02.27	22:00:00	5911.0	5911.2	5884.9	5891.2	1990	0	1
2025.02.27	22:15:00	5890.9	5898.2	5879.9	5880.9	1918	0	1
2025.02.27	22:30:00	5881.4	5893.5	5877.4	5880.3	2116	0	1
2025.02.27	22:45:00	5880.5	5887.7	5864.9	5869.8	2297	0	1
2025.02.27	23:00:00	5869.3	5871.7	5865.6	5871.2	1058	0	1
