<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.09	109.08	111.74	88.00	100.00	38756	0	0
2013.06.16	100.00	115.00	98.90	108.75	21533	0	0
2013.06.23	108.80	109.06	92.25	95.39	16798	0	0
2013.06.30	95.39	98.12	65.51	68.90	19394	0	0
2013.07.07	68.90	102.10	66.62	97.50	18173	0	0
2013.07.14	98.32	101.94	86.20	89.82	61051179	0	0
2013.07.21	89.95	97.48	88.00	94.40	27180500	0	0
2013.07.28	94.20	111.65	94.00	104.95	37377765	0	0
2013.08.04	104.90	107.77	94.50	103.00	38974434	0	0
2013.08.11	103.00	108.85	93.97	97.07	24673236	0	0
2013.08.18	97.07	108.99	96.50	106.14	35021	0	0
2013.08.25	106.14	125.83	106.02	125.70	25459	0	0
2013.09.01	125.70	126.56	111.61	116.99	31943	0	0
2013.09.08	116.70	125.00	114.40	123.10	26130	0	0
2013.09.15	122.71	126.00	119.50	121.20	25511	0	0
2013.09.22	121.20	123.69	119.60	123.30	16298	0	0
2013.09.29	123.64	124.73	75.20	119.02	19090	0	0
2013.10.06	118.83	124.94	118.22	124.67	21777	0	0
2013.10.13	124.93	160.00	124.44	153.40	40703	0	0
2013.10.20	153.53	203.98	152.10	169.50	70279	0	0
2013.10.27	169.30	200.90	168.20	199.16	59948	0	0
2013.11.03	199.16	349.11	198.00	342.10	96013	0	0
2013.11.10	343.89	428.90	254.99	423.30	85347	0	0
2013.11.17	423.20	820.00	376.70	722.67	119272	0	0
2013.11.24	722.67	1090.00	630.00	1047.22	96739	0	0
2013.12.01	1047.21	1077.23	551.00	720.01	118449	0	0
2013.12.08	720.00	970.90	665.10	848.61	85072	0	0
2013.12.15	850.00	870.00	420.00	594.57	148683	0	0
2013.12.22	594.57	761.00	573.01	712.80	101011	0	0
2013.12.29	713.00	827.33	695.00	819.82	70134	0	0
2014.01.05	820.00	990.00	720.10	881.10	111048	0	0
2014.01.12	881.10	898.75	782.98	811.02	96580	0	0
2014.01.19	810.80	841.50	753.10	815.00	78210	0	0
2014.01.26	815.00	830.00	727.11	809.00	77826	0	0
2014.02.02	809.50	815.03	676.10	701.24	56524	0	0
2014.02.09	701.24	729.00	300.00	638.01	83639	0	0
2014.02.16	638.00	648.00	514.15	587.06	81097	0	0
2014.02.23	587.05	629.81	430.12	564.85	101352	0	0
2014.03.02	563.47	698.01	546.00	606.60	73717	0	0
2014.03.09	606.56	641.48	604.43	629.01	40238	0	0
2014.03.16	629.00	630.00	555.73	565.87	86910	0	0
2014.03.23	565.71	590.13	472.00	500.00	75098	0	0
2014.03.30	498.10	500.34	410.00	453.60	123640	0	0
2014.04.06	453.60	471.23	342.80	419.01	108856	0	0
2014.04.13	419.01	544.99	382.42	485.30	96837	0	0
2014.04.20	486.00	505.00	432.20	450.57	57679	0	0
2014.04.27	450.10	453.56	412.94	430.04	67808	0	0
2014.05.04	430.04	445.90	411.40	439.90	49674	0	0
2014.05.11	439.87	445.96	426.76	440.83	33942	0	0
2014.05.18	440.83	539.60	435.29	517.50	53332	0	0
2014.05.25	519.00	614.00	512.81	608.00	66693	0	0
2014.06.01	608.00	667.53	602.00	641.00	70200	0	0
2014.06.08	641.10	649.99	546.33	562.00	52537	0	0
2014.06.15	562.00	609.99	552.78	586.78	48779	0	0
2014.06.22	586.78	604.80	555.99	591.46	38605	0	0
2014.06.29	591.46	654.10	585.00	625.50	55412	0	0
2014.07.06	625.50	636.00	603.70	624.00	39748	0	0
2014.07.13	622.65	627.91	606.10	617.66	27320	0	0
2014.07.20	618.27	619.79	578.59	587.53	32475	0	0
2014.07.27	588.00	598.00	555.00	582.82	43530	0	0
2014.08.03	582.82	594.99	572.40	584.00	31577	0	0
2014.08.10	582.00	589.70	480.00	511.90	63425	0	0
2014.08.17	511.91	528.92	334.00	485.10	89876	0	0
2014.08.24	485.32	517.86	485.00	498.18	45169	0	0
2014.08.31	498.19	499.26	465.63	481.31	45978	0	0
2014.09.07	481.30	484.76	459.70	471.46	37314	0	0
2014.09.14	471.46	472.98	371.12	395.91	66600	0	0
2014.09.21	396.08	446.04	373.74	389.00	58850	0	0
2014.09.28	388.92	394.66	308.60	315.17	53980	0	0
2014.10.05	315.82	381.75	285.01	356.31	81699	0	0
2014.10.12	356.97	408.20	348.30	386.01	57785	0	0
2014.10.19	386.01	388.25	337.82	347.90	44819	0	0
2014.10.26	347.90	358.46	319.14	320.85	45575	0	0
2014.11.02	320.68	350.01	319.10	341.19	42922	0	0
2014.11.09	341.19	454.00	340.12	376.45	76769	0	0
2014.11.16	376.50	405.94	339.67	354.10	59729	0	0
2014.11.23	354.10	389.00	348.42	371.35	50847	0	0
2014.11.30	371.56	382.31	360.44	368.14	33265	0	0
2014.12.07	368.24	371.00	332.51	341.84	39525	0	0
2014.12.14	341.69	346.94	304.05	325.13	53272	0	0
2014.12.21	324.88	334.47	308.00	312.02	42872	0	0
2014.12.28	312.03	318.10	285.60	289.83	41440	0	0
2015.01.04	289.68	301.02	260.00	271.99	67341	0	0
2015.01.11	271.99	278.27	162.68	197.10	125201	0	0
2015.01.18	197.10	247.22	192.57	238.37	74574	0	0
2015.01.25	238.37	303.30	212.20	218.75	99412	0	0
2015.02.01	218.73	240.44	208.01	224.01	71794	0	0
2015.02.08	224.03	255.01	213.19	252.00	46206	0	0
2015.02.15	252.00	265.01	221.75	237.40	58146	0	0
2015.02.22	237.68	252.20	224.98	247.55	42981	0	0
2015.03.01	247.55	283.00	238.00	272.20	61693	0	0
2015.03.08	272.20	299.00	270.18	275.55	48702	0	0
2015.03.15	275.33	290.97	243.00	257.24	52846	0	0
2015.03.22	257.36	269.71	235.40	249.01	60288	0	0
2015.03.29	249.15	253.28	234.08	249.56	46684	0	0
2015.04.05	249.52	258.53	228.62	233.70	42817	0	0
2015.04.12	233.75	234.48	213.99	222.00	42319	0	0
2015.04.19	222.00	236.57	219.46	226.28	36801	0	0
2015.04.26	226.28	243.87	210.86	235.94	54411	0	0
2015.05.03	235.94	247.08	230.11	241.00	34945	0	0
2015.05.10	241.00	245.01	233.35	235.91	33980	0	0
2015.05.17	235.91	242.80	231.81	239.64	26423	0	0
2015.05.24	239.64	243.64	232.86	234.96	29761	0	0
2015.05.31	235.00	235.64	222.33	226.67	30255	0	0
2015.06.07	226.81	234.00	224.89	233.60	23011	0	0
2015.06.14	233.89	256.75	232.85	244.91	56825	0	0
2015.06.21	244.91	249.24	240.10	246.50	36409	0	0
2015.06.28	246.50	269.30	245.33	255.80	51914	0	0
2015.07.05	255.80	298.91	255.80	290.29	87568	0	0
2015.07.12	290.29	310.01	194.92	265.00	75204	0	0
2015.07.19	265.10	288.68	263.99	283.06	40842	0	0
2015.07.26	283.06	290.00	275.60	278.31	39565	0	0
2015.08.02	278.30	282.70	260.77	260.83	39247	0	0
2015.08.09	260.83	269.26	252.00	257.88	44040	0	0
2015.08.16	257.46	258.82	211.05	223.11	56834	0	0
2015.08.23	223.11	230.96	192.55	224.85	82809	0	0
2015.08.30	224.85	231.82	220.75	228.61	56620	0	0
2015.09.06	228.63	245.80	228.32	231.20	55991	0	0
2015.09.13	231.20	234.59	224.80	228.95	41839	0	0
2015.09.20	228.95	236.00	224.00	233.65	43608	0	0
2015.09.27	233.65	237.69	230.82	236.35	44880	0	0
2015.10.04	236.35	245.06	234.90	242.97	48153	0	0
2015.10.11	242.98	272.97	240.30	264.03	88797	0	0
2015.10.18	264.03	274.99	256.88	274.32	58591	0	0
2015.10.25	274.22	321.21	274.00	300.50	82218	0	0
2015.11.01	300.51	459.20	298.00	372.31	130025	0	0
2015.11.08	372.40	379.27	296.00	328.38	80722	0	0
2015.11.15	328.38	335.00	309.00	323.72	74569	0	0
2015.11.22	323.86	366.50	314.90	351.60	89924	0	0
2015.11.29	351.60	379.80	345.00	373.40	101423	0	0
2015.12.06	373.40	452.67	371.50	420.78	111341	0	0
2015.12.13	420.78	460.49	416.33	455.24	102853	0	0
2015.12.20	455.24	457.42	401.16	412.10	99991	0	0
2015.12.27	412.10	434.50	406.14	430.51	107652	0	0
2016.01.03	430.58	454.98	423.12	446.00	82261	0	0
2016.01.10	446.00	447.99	349.82	377.99	103793	0	0
2016.01.17	377.39	425.51	374.75	392.29	118719	0	0
2016.01.24	392.29	402.98	366.50	381.31	108854	0	0
2016.01.31	381.31	392.46	365.16	380.99	107540	0	0
2016.02.07	380.99	393.75	374.09	391.25	97305	0	0
2016.02.14	391.25	439.50	391.20	433.20	108147	0	0
2016.02.21	433.20	444.91	413.40	428.67	110375	0	0
2016.02.28	428.68	437.76	393.99	407.27	110955	0	0
2016.03.06	407.27	422.00	398.54	411.22	90210	0	0
2016.03.13	411.22	418.00	404.52	407.89	97541	0	0
2016.03.20	407.89	418.15	407.28	415.50	103729	0	0
2016.03.27	415.50	426.24	408.32	415.86	109315	0	0
2016.04.03	415.67	420.95	411.95	415.50	114533	0	0
2016.04.10	415.50	429.00	414.44	427.20	110348	0	0
2016.04.17	427.22	444.29	419.95	439.33	105856	0	0
2016.04.24	439.33	462.17	435.91	448.46	125847	0	0
2016.05.01	448.46	455.00	439.86	452.11	132297	0	0
2016.05.08	452.11	457.95	446.29	455.00	110594	0	0
2016.05.15	455.00	459.00	434.86	441.32	110527	0	0
2016.05.22	441.32	495.92	437.62	495.92	115060	0	0
2016.05.29	495.92	577.99	489.08	560.00	125997	0	0
2016.06.05	560.00	583.79	553.26	567.70	108590	0	0
2016.06.12	567.70	744.40	567.20	726.00	132206	0	0
2016.06.19	725.93	734.52	522.42	631.76	148905	0	0
2016.06.26	631.76	678.00	600.40	677.10	131604	0	0
2016.07.03	677.10	687.80	589.58	630.90	139515	0	0
2016.07.10	630.90	659.00	626.42	647.12	122683	0	0
2016.07.17	647.12	669.00	640.20	649.40	99231	0	0
2016.07.24	648.00	656.50	641.01	647.00	108525	0	0
2016.07.31	647.00	649.00	471.10	580.00	122119	0	0
2016.08.07	580.00	595.40	578.23	583.39	117412	0	0
2016.08.14	583.39	584.12	556.66	577.00	143914	0	0
2016.08.21	577.00	596.28	567.03	569.49	113176	0	0
2016.08.28	569.49	604.33	568.63	603.00	109526	0	0
2016.09.04	601.98	626.77	594.85	624.05	33170	0	0
2016.09.11	623.50	627.11	592.50	605.00	59025	0	0
2016.09.18	605.00	614.00	590.00	602.00	133564	0	0
2016.09.25	602.01	610.89	598.75	610.01	116507	0	0
