<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.29	17.133	17.730	17.056	17.513	630463	0	0
2017.02.05	17.517	18.002	17.455	17.948	568517	0	0
2017.02.12	17.907	18.139	17.740	17.991	561475	0	0
2017.02.19	17.998	18.405	17.836	18.369	355788	0	0
2017.02.26	18.363	18.484	17.632	17.977	483705	0	0
2017.03.05	17.931	17.949	16.841	17.038	468924	0	0
2017.03.12	17.038	17.562	16.828	17.387	393657	0	0
2017.03.19	17.413	17.780	17.327	17.757	438496	0	0
2017.03.26	17.766	18.295	17.766	18.269	398533	0	0
2017.04.02	18.233	18.470	17.867	17.995	316895	0	0
2017.04.09	17.927	18.601	17.744	18.484	317705	0	1
2017.04.16	18.580	18.651	17.814	17.928	354643	0	0
2017.04.23	17.847	18.005	17.166	17.204	385927	0	0
2017.04.30	17.181	17.264	16.210	16.333	354013	0	0
2017.05.07	16.296	16.478	16.063	16.435	314464	0	0
2017.05.14	16.451	17.037	16.412	16.836	379009	0	2
2017.05.21	16.856	17.387	16.849	17.310	301107	0	2
2017.05.28	17.345	17.581	17.011	17.511	213136	0	2
2017.06.04	17.539	17.751	17.169	17.174	233582	0	2
2017.06.11	17.181	17.381	16.652	16.664	302028	0	6
2017.06.18	16.695	16.791	16.356	16.675	240998	0	10
2017.06.25	16.712	16.895	16.261	16.588	331165	0	10
2017.07.02	16.626	16.640	14.305	15.566	374902	0	14
2017.07.09	15.539	16.083	15.178	15.956	377156	0	14
2017.07.16	15.980	16.518	15.963	16.491	336098	0	14
2017.07.23	16.500	16.815	16.241	16.717	356326	0	14
2017.07.30	16.749	16.938	16.191	16.238	309494	0	14
2017.08.06	16.202	17.241	16.121	17.080	339517	0	14
2017.08.13	17.103	17.314	16.572	16.940	414002	0	14
2017.08.20	16.938	17.177	16.724	17.028	331813	0	14
2017.08.27	17.054	17.746	17.017	17.690	464138	0	14
2017.09.03	17.737	18.208	17.737	17.936	403814	0	14
2017.09.10	17.797	17.977	17.536	17.548	342177	0	14
2017.09.17	17.567	17.619	16.830	16.964	315311	0	14
2017.09.24	16.977	17.242	16.589	16.624	354816	0	14
2017.10.01	16.602	16.885	16.324	16.792	269895	0	14
2017.10.08	16.776	17.409	16.773	17.376	339290	0	14
2017.10.15	17.350	17.462	16.883	17.004	353810	0	14
2017.10.22	16.996	17.139	16.597	16.834	306469	0	14
2017.10.29	16.802	17.236	16.634	16.811	366410	0	14
2017.11.05	16.777	17.255	16.751	16.856	407151	0	14
2017.11.12	16.817	17.376	16.816	17.272	389955	0	14
2017.11.19	17.293	17.303	16.838	17.024	291801	0	14
2017.11.26	17.032	17.191	16.237	16.407	409521	0	14
2017.12.03	16.297	16.425	15.637	15.831	348434	0	14
2017.12.10	15.783	16.145	15.614	16.030	268035	0	14
2017.12.17	15.986	16.417	15.973	16.326	275225	0	14
2017.12.24	16.440	17.108	16.386	16.950	171049	0	14
2017.12.31	17.045	17.280	16.978	17.187	269380	0	14
2018.01.07	17.224	17.278	16.865	17.215	400296	0	14
2018.01.14	17.178	17.418	16.788	16.994	411160	0	14
2018.01.21	17.022	17.696	16.739	17.378	540631	0	14
2018.01.28	17.370	17.476	16.559	16.566	537627	0	14
2018.02.04	16.645	16.983	16.180	16.324	670972	0	14
2018.02.11	16.337	16.975	16.320	16.624	513115	0	14
2018.02.18	16.598	16.767	16.382	16.502	410189	0	14
2018.02.25	16.454	16.761	16.160	16.488	500427	0	14
2018.03.04	16.509	16.861	16.338	16.554	585775	0	14
2018.03.11	16.584	16.658	16.206	16.310	327254	0	14
2018.03.18	16.304	16.665	16.116	16.534	420040	0	0
2018.03.25	16.540	16.799	16.216	16.318	301838	0	14
2018.04.01	16.266	16.673	16.180	16.347	457285	0	11
2018.04.08	16.362	16.869	16.319	16.615	372410	0	0
2018.04.15	16.616	17.350	16.550	17.076	334699	0	11
2018.04.22	17.128	17.128	16.421	16.491	326382	0	11
2018.04.29	16.398	16.583	16.048	16.481	293423	0	11
2018.05.06	16.465	16.830	16.311	16.612	321376	0	11
2018.05.13	16.659	16.732	16.183	16.415	312392	0	11
2018.05.20	16.415	16.712	16.266	16.466	329224	0	0
2018.05.27	16.500	16.590	16.308	16.381	377664	0	0
2018.06.03	16.386	16.895	16.359	16.749	96294	0	11
2018.06.10	16.749	17.314	16.449	16.529	108246	0	11
2018.06.17	16.512	16.622	16.192	16.416	92547	0	11
2018.06.24	16.367	16.485	15.916	16.054	105736	0	11
2018.07.01	16.054	16.143	15.763	15.998	91570	0	11
2018.07.08	16.031	16.208	15.683	15.762	106756	0	11
2018.07.15	15.746	15.870	15.172	15.470	123002	0	11
2018.07.22	15.505	15.660	15.321	15.434	120347	0	11
2018.07.29	15.463	15.602	15.226	15.366	115488	0	11
2018.08.05	15.395	15.504	15.263	15.267	104323	0	11
2018.08.12	15.292	15.336	14.330	14.749	126136	0	11
2018.08.19	14.745	14.874	14.435	14.763	101792	0	11
2018.08.26	14.808	14.992	14.481	14.481	68931	0	11
2018.09.02	14.483	14.546	14.002	14.124	75713	0	11
2018.09.09	14.152	14.346	13.936	14.035	82138	0	11
2018.09.16	14.036	14.425	14.036	14.245	85040	0	11
2018.09.23	14.289	14.714	14.159	14.604	84321	0	0
2018.09.30	14.650	14.904	14.367	14.627	129593	0	11
2018.10.07	14.634	14.699	14.237	14.546	136263	0	11
2018.10.14	14.590	14.842	14.448	14.588	118365	0	11
2018.10.21	14.619	14.805	14.509	14.650	111170	0	11
2018.10.28	14.677	14.906	14.209	14.703	90030	0	11
2018.11.04	14.740	14.762	14.100	14.110	83352	0	11
2018.11.11	14.140	14.420	13.892	14.362	86073	0	11
2018.11.18	14.415	14.551	14.184	14.235	67297	0	0
2018.11.25	14.297	14.434	14.046	14.130	75621	0	11
2018.12.02	14.237	14.660	14.201	14.580	80808	0	11
2018.12.09	14.612	14.802	14.475	14.530	81316	0	11
2018.12.16	14.566	14.837	14.530	14.601	123955	0	11
2018.12.23	14.660	15.391	14.642	15.328	94241	0	0
2018.12.30	15.382	15.867	15.320	15.656	112303	0	11
2019.01.06	15.726	15.811	15.498	15.538	98836	0	11
2019.01.13	15.595	15.692	15.294	15.294	90268	0	11
2019.01.20	15.347	15.746	15.176	15.701	97445	0	11
2019.01.27	15.742	16.182	15.600	15.871	102992	0	11
2019.02.03	15.907	15.920	15.629	15.798	71053	0	11
2019.02.10	15.803	15.834	15.481	15.747	79000	0	11
2019.02.17	15.772	16.210	15.737	15.883	85977	0	11
2019.02.24	15.886	16.379	15.137	15.194	83583	0	11
2019.03.03	15.187	15.364	14.973	15.314	101087	0	11
2019.03.10	15.306	15.530	15.133	15.253	86476	0	11
2019.03.17	15.300	15.633	15.219	15.372	88263	0	0
2019.03.24	15.400	15.579	14.966	15.122	73750	0	9
2019.03.31	15.109	15.211	14.896	15.091	68546	0	11
2019.04.07	15.108	15.339	14.890	14.952	61917	0	11
2019.04.14	14.979	15.094	14.846	14.983	51700	0	11
2019.04.21	14.998	15.079	14.747	15.060	61691	0	11
2019.04.28	15.059	15.068	14.561	14.906	70159	0	11
2019.05.05	14.936	14.967	14.693	14.754	70807	0	11
2019.05.12	14.787	14.853	14.388	14.394	60008	0	10
2019.05.19	14.414	14.643	14.371	14.559	47769	0	10
2019.05.26	14.556	14.680	14.287	14.561	55692	0	5
2019.06.02	14.574	15.148	14.555	14.995	81639	0	3
2019.06.09	15.003	15.120	14.641	14.850	75271	0	5
2019.06.16	14.847	15.551	14.771	15.316	126294	0	5
2019.06.23	15.338	15.510	15.157	15.313	130228	0	5
2019.06.30	15.234	15.458	14.890	14.975	103788	0	5
2019.07.07	14.987	15.314	14.940	15.203	95647	0	5
2019.07.14	15.193	16.583	15.159	16.184	117310	0	5
2019.07.21	16.197	16.646	16.167	16.352	97988	0	5
2019.07.28	16.331	16.602	15.911	16.167	126144	0	11
2019.08.04	16.180	17.240	16.114	16.932	166043	0	11
2019.08.11	16.921	17.504	16.532	17.081	177867	0	11
2019.08.18	17.137	17.478	16.814	17.389	110070	0	11
2019.08.25	17.502	18.646	17.456	18.323	170504	0	10
2019.09.01	18.364	19.641	17.961	18.134	207239	0	10
2019.09.08	18.101	18.465	17.384	17.384	111034	0	10
2019.09.15	17.650	18.085	17.513	17.941	100228	0	10
2019.09.22	17.942	18.735	17.289	17.495	117097	0	10
2019.09.29	17.499	17.795	16.892	17.519	108624	0	10
2019.10.06	17.620	17.948	17.261	17.513	123523	0	10
2019.10.13	17.503	17.730	17.159	17.510	108803	0	10
2019.10.20	17.561	18.328	17.423	18.010	103003	0	7
2019.10.27	17.999	18.170	17.581	18.097	114237	0	0
2019.11.03	18.096	18.217	16.687	16.775	118112	0	10
2019.11.10	16.778	17.102	16.640	16.956	102342	0	10
2019.11.17	16.954	17.230	16.734	16.984	93532	0	10
2019.11.24	16.966	17.110	16.812	17.014	72243	0	10
2019.12.01	16.979	17.316	16.526	16.551	126612	0	10
2019.12.08	16.541	17.118	16.522	16.917	108668	0	10
2019.12.15	16.932	17.256	16.881	17.172	82801	0	10
2019.12.22	17.168	18.048	17.168	17.726	62257	0	10
2019.12.29	17.770	18.268	17.763	18.016	97714	0	10
2020.01.05	18.114	18.855	17.793	18.077	192199	0	10
2020.01.12	18.090	18.165	17.677	17.998	127295	0	10
